ObservationSet,Experiment,Broker,Time,Active Procs,CPU (%),Net Sent (KB/s),Net Recv (KB/s)
2,2,MQTT,11,1,0.0,1.91,1.91
2,2,MQTT,12,1,0.0,0.0,0.0
2,2,MQTT,13,1,0.0,0.96,0.96
2,2,MQTT,14,1,0.0,0.0,0.0
2,2,MQTT,15,1,0.0,0.0,0.96
2,2,MQTT,16,1,0.1,0.0,0.0
2,2,MQTT,17,1,0.0,0.0,0.0
2,2,MQTT,18,1,0.0,0.0,0.0
2,2,MQTT,19,1,0.0,0.0,0.0
2,2,MQTT,20,1,0.0,0.0,0.96
2,2,MQTT,21,1,0.0,0.0,0.96
2,2,MQTT,22,1,0.0,0.96,0.0
2,2,MQTT,23,1,0.0,0.0,0.0
2,2,MQTT,24,1,0.0,2.89,6.75
2,2,MQTT,25,1,0.0,0.0,0.96
2,2,MQTT,26,1,0.0,0.0,0.0
2,2,MQTT,27,1,0.1,0.0,0.0
2,2,MQTT,28,1,0.0,0.0,0.0
2,2,MQTT,29,1,0.0,0.0,0.0
3,2,MQTT,1,1,0.0,20.23,22.15
3,2,MQTT,2,1,0.2,1.91,0.96
3,2,MQTT,3,1,2.5,85.45,54.73
3,2,MQTT,4,1,4.3,170.36,104.32
3,2,MQTT,5,1,2.2,97.63,64.13
3,2,MQTT,6,1,3.2,137.34,85.11
3,2,MQTT,7,1,2.7,109.45,72.01
3,2,MQTT,8,1,3.4,148.63,93.97
3,2,MQTT,9,1,1.7,83.43,50.82
3,2,MQTT,10,1,1.3,43.38,35.67
3,2,MQTT,11,1,0.0,0.0,0.96
3,2,MQTT,12,1,0.0,0.96,1.92
3,2,MQTT,13,1,0.0,0.0,0.0
3,2,MQTT,14,1,0.0,0.0,0.0
3,2,MQTT,15,1,0.0,0.0,0.0
3,2,MQTT,16,1,0.0,0.0,0.0
3,2,MQTT,17,1,0.0,0.0,0.0
3,2,MQTT,18,1,0.0,0.0,0.96
3,2,MQTT,19,1,0.0,0.0,0.0
3,2,MQTT,20,1,0.0,0.96,0.96
3,2,MQTT,21,1,0.0,0.0,0.0
3,2,MQTT,22,1,0.0,0.0,0.0
3,2,MQTT,23,1,0.0,0.0,0.0
3,2,MQTT,24,1,0.0,0.0,0.0
3,2,MQTT,25,1,0.0,0.0,0.0
3,2,MQTT,26,1,0.0,0.0,0.0
3,2,MQTT,27,1,0.0,0.96,0.96
3,2,MQTT,28,1,0.0,0.0,0.0
3,2,MQTT,29,1,0.0,48.16,37.56
1,3,Mine,1,32,0.0,9.9,58.59
1,3,Mine,2,56,1.8,7.34,36.69
1,3,Mine,3,72,1.1,2.1,26.57
1,3,Mine,4,74,1.5,2.77,49.18
1,3,Mine,5,86,3.7,47.15,36.21
1,3,Mine,6,118,4.6,77.43,76.83
1,3,Mine,7,145,8.0,197.7,151.25
1,3,Mine,8,179,6.0,104.58,98.26
1,3,Mine,9,197,5.3,127.75,95.39
1,3,Mine,10,227,6.1,183.99,138.66
1,3,Mine,11,263,6.0,156.16,120.41
1,3,Mine,12,296,5.9,180.45,137.37
1,3,Mine,13,337,7.3,175.19,173.76
1,3,Mine,14,366,5.9,153.66,116.06
1,3,Mine,15,409,6.3,149.81,116.81
1,3,Mine,16,434,5.8,162.08,121.67
1,3,Mine,17,477,6.2,174.78,131.72
2,3,Mine,1,23,0.0,10.29,60.04
2,3,Mine,2,47,1.1,6.97,46.44
2,3,Mine,3,79,2.6,58.07,66.95
2,3,Mine,4,107,4.0,22.73,62.51
2,3,Mine,5,131,4.7,90.48,75.02
2,3,Mine,6,156,5.6,101.68,85.17
2,3,Mine,7,192,9.6,224.19,170.32
2,3,Mine,8,231,7.0,203.3,168.7
2,3,Mine,9,269,6.9,198.9,149.17
2,3,Mine,10,308,7.3,178.69,135.26
2,3,Mine,11,337,6.6,100.73,88.95
2,3,Mine,12,360,6.5,196.21,149.43
2,3,Mine,13,407,7.8,217.29,162.26
2,3,Mine,14,452,6.9,223.66,168.41
2,3,Mine,15,484,6.6,144.94,109.26
3,3,Mine,1,33,0.0,10.68,124.92
3,3,Mine,2,57,0.4,6.75,115.45
3,3,Mine,3,81,1.1,2.62,24.87
3,3,Mine,4,85,0.1,3.86,46.99
3,3,Mine,5,103,4.2,40.82,54.84
3,3,Mine,6,128,5.2,100.62,100.06
3,3,Mine,7,162,8.4,217.04,164.38
3,3,Mine,8,197,6.3,147.97,128.27
3,3,Mine,9,233,6.5,123.14,94.88
3,3,Mine,10,250,7.3,210.35,156.08
3,3,Mine,11,295,8.6,241.31,180.75
3,3,Mine,12,341,8.4,236.54,192.38
3,3,Mine,13,388,8.4,248.59,189.34
3,3,Mine,14,440,8.9,260.61,195.56
3,3,Mine,15,502,8.2,154.05,117.8
3,3,Mine,16,536,6.8,234.42,175.63
1,3,MQTT,1,1,0.0,177.77,179.7
1,3,MQTT,2,1,3.2,41.34,42.31
1,3,MQTT,3,1,10.1,525.63,301.18
1,3,MQTT,4,1,10.4,581.26,328.46
1,3,MQTT,5,1,10.8,528.01,315.66
1,3,MQTT,6,1,13.4,743.67,445.24
1,3,MQTT,7,1,9.1,528.97,319.11
1,3,MQTT,8,1,9.9,635.41,395.82
1,3,MQTT,9,1,10.7,581.17,325.53
1,3,MQTT,10,1,13.9,855.34,512.05
1,3,MQTT,11,1,10.9,639.15,396.71
1,3,MQTT,12,1,12.4,799.13,445.98
1,3,MQTT,13,1,9.9,585.72,365.95
1,3,MQTT,14,1,10.2,641.43,367.77
1,3,MQTT,15,1,12.8,696.77,424.41
1,3,MQTT,16,1,12.9,748.81,427.75
1,3,MQTT,17,1,11.4,747.01,428.65
1,3,MQTT,18,1,12.7,698.72,432.36
1,3,MQTT,19,1,12.1,697.47,411.35
1,3,MQTT,20,1,12.6,797.76,449.28
1,3,MQTT,21,1,11.3,645.21,400.37
1,3,MQTT,22,1,7.2,375.17,217.81
1,3,MQTT,23,1,7.9,493.35,270.76
1,3,MQTT,24,1,9.4,584.71,345.86
1,3,MQTT,25,1,10.6,640.62,398.35
1,3,MQTT,26,1,11.2,641.29,383.05
1,3,MQTT,27,1,11.2,692.98,381.9
1,3,MQTT,28,1,12.1,698.49,408.66
1,3,MQTT,29,1,10.0,652.77,413.55
2,3,MQTT,1,1,0.0,142.9,151.53
2,3,MQTT,2,1,3.8,72.69,76.52
2,3,MQTT,3,1,11.1,577.52,345.75
2,3,MQTT,4,1,8.8,424.84,237.41
2,3,MQTT,5,1,7.6,421.76,252.87
2,3,MQTT,6,1,3.7,149.06,68.28
2,3,MQTT,7,1,5.5,214.62,138.93
2,3,MQTT,8,1,8.9,478.95,286.22
2,3,MQTT,9,1,14.7,851.55,505.91
2,3,MQTT,10,1,9.7,586.46,347.24
2,3,MQTT,11,1,9.4,525.55,308.48
2,3,MQTT,12,1,12.7,844.16,503.43
2,3,MQTT,13,1,10.8,637.37,383.76
2,3,MQTT,14,1,10.3,587.96,340.5
2,3,MQTT,15,1,13.3,804.99,497.23
2,3,MQTT,16,1,11.9,749.88,430.43
2,3,MQTT,17,1,10.5,640.63,364.98
2,3,MQTT,18,1,4.1,240.19,133.01
2,3,MQTT,19,1,5.5,213.63,136.03
2,3,MQTT,20,1,6.0,266.93,188.48
2,3,MQTT,21,1,8.8,482.83,277.82
2,3,MQTT,22,1,9.4,597.61,333.19
2,3,MQTT,23,1,7.9,534.4,308.93
2,3,MQTT,24,1,10.0,536.26,323.67
2,3,MQTT,25,1,7.3,320.79,195.93
2,3,MQTT,26,1,9.4,484.0,304.17
2,3,MQTT,27,1,12.8,798.25,446.98
2,3,MQTT,28,1,11.4,646.44,380.32
2,3,MQTT,29,1,10.6,643.83,396.13
3,3,MQTT,1,1,0.0,169.19,236.48
3,3,MQTT,2,1,3.4,48.89,49.85
3,3,MQTT,3,1,11.5,577.48,314.64
3,3,MQTT,4,1,9.7,582.82,345.66
3,3,MQTT,5,1,7.4,370.66,226.99
3,3,MQTT,6,1,11.5,587.57,355.26
3,3,MQTT,7,1,7.7,421.64,250.5
3,3,MQTT,8,1,6.9,450.31,267.31
3,3,MQTT,9,1,7.8,374.55,225.69
3,3,MQTT,10,1,7.0,421.94,268.25
3,3,MQTT,11,1,13.7,843.54,485.85
3,3,MQTT,12,1,9.6,583.72,343.31
3,3,MQTT,13,1,9.1,531.99,313.83
3,3,MQTT,14,1,10.9,587.55,376.34
3,3,MQTT,15,1,11.4,692.84,400.01
3,3,MQTT,16,1,11.6,642.3,386.53
3,3,MQTT,17,1,13.2,804.67,460.64
3,3,MQTT,18,1,10.8,694.59,391.0
3,3,MQTT,19,1,10.0,531.35,314.8
3,3,MQTT,20,1,11.4,643.61,397.32
3,3,MQTT,21,1,12.5,799.46,451.91
3,3,MQTT,22,1,10.2,588.02,374.72
3,3,MQTT,23,1,13.7,859.36,481.28
3,3,MQTT,24,1,13.0,852.89,514.99
3,3,MQTT,25,1,9.8,534.98,298.28
3,3,MQTT,26,1,10.0,586.23,343.32
3,3,MQTT,27,1,11.7,691.98,410.02
3,3,MQTT,28,1,9.6,590.83,344.65
3,3,MQTT,29,1,12.3,696.53,426.19
